App_ID,App_Icon_URL,App_Image_Name,App_Name
com.google.android.calendar,https://lh3.ggpht.com/oGR9I1X9No3SfFEXrq655tETtVVzI3jIphhmEVPGPEVuM5gfwh8lOGWHQFf6gjSTvw=w170,,Google Calendar
com.peake.hindicalender,https://lh3.googleusercontent.com/4M5ELDLUaFx-OL_GHN9i7i7hidO5valqgXR-Zn72ibmuD26dDbQ8b8He1iQaKGYPcmc=w170,,2019 Calendar
com.ansh.hindicalender,https://lh3.googleusercontent.com/pz6shoJQxrvRop2z6xxr34xyc7nd11UUkFmPB4mZtV6xFnetifnvHa0jdZ-ZdgupRO4=w170,,Hindi Calendar 2018 and 2019
com.awt.kalnirnay,https://lh3.googleusercontent.com/JRzc9NAHHjZlOimmTijus5IqQYE00nQQrGTm2O8r_DyYhyOynNMnn5ogU4ReeUuRtaM=w170,,KALNIRNAY 2019
maani5.com.odiacalendar2018,https://lh3.googleusercontent.com/_-KjlHcYQcxm5tN6CQJhbIZQrHfKRQQgAfAb-f-lKKB1YI-TDJJ-mWZy-oHjip6JRPrw=w170,,Hindi Calendar 2018 and 2019
com.alokmandavgane.hinducalendar,https://lh6.ggpht.com/LAa_o48RB5OlrnQobdwFJ1l0KQX6drPYnbM96NBsV6_LlhZ8K3EOfJ-QkRjRazgE72CH=w170,,Hindu Calendar
hindi.calendar.panchang2018,https://lh3.googleusercontent.com/viadVsC_xz-rMBruBxszosz2TN0AswXRB9GBj7nI_w1a4kodyBx8eY-_66HQDXJXU0Y=w170,,Hindi Calendar 2018 - Panchang 2018
air.com.vikrams.telugucalendar2014,https://lh3.googleusercontent.com/zusAnIU9zANw_MJ7vU-5utQ45FaMsxxAbgcqtaskI0Du9JhPOiTIBiKvr-Q4VkPczGM=w170,,Telugu Calendar Panchang 2019
com.concentriclivers.calendar,https://lh5.ggpht.com/WnovoLYk-MP5rw--dv5yuZSIWQhGUkPICP8MK2J6aLQSvMiNSU2pspV2PlVtjYaq-w5Z=w170,,Calendar
com.appside.bongcal,https://lh3.googleusercontent.com/wvXBVZdz5cyTnV9yBf-EbAUEAUOEIz_4Crh0jOu5uF0vsS8hVfjCtAmv5Zj5-IPHnz4=w170,,Bengali Calendar (India)
com.simplemobiletools.calendar,https://lh3.googleusercontent.com/-Lf2UnIxgG6unbNNz-fhKTrsUlmGn03Tk51km914gsODuQO8SczX6mlDVoHFT0i_alI=w170,,Simple Calendar
mobi.HolidayCalender,https://lh3.googleusercontent.com/fNGplpucI8nKG5MucRWCWvWTvcsDYa7IMsPHcgA9YMwgt8uQWXTh1jfGy9k-4kAi38A=w170,,Indian Holiday Calendar 2018
com.bangl.cal,https://lh3.googleusercontent.com/mJMNEtaVp3UGLSsZg8Iku1dbdVHioDwNZNeoA_R0lHRFlnaKSVvXJT-IC15BT9tMuw=w170,,Bengali Calender 2018
com.bb.hindicalender,https://lh3.googleusercontent.com/0oC5XQMavV4p0hxfLq2KeGKCEXVl_NrDMC5CLgSutCBMv-sCGr2VMzVAv3XpsUmUEQ=w170,,Hindi Calender 2019
com.india.oriyacalender,https://lh3.googleusercontent.com/aMtYGwuLXneNWG30uXpBG0BMJ9FmOVskjQ8cPd4caR_LbeZ0l9Khu6ji5o8UNCm1aE2e=w170,,Odia Calender 2019 - ଓଡ଼ିଆ କ୍ୟାଲେଣ୍ଡର 2019 Oriya
com.asuszenfone.calendar,https://lh3.googleusercontent.com/nQp5KJt9UkzQsCg8oDIF9bm2YwEldtZj1IFBLRJGE6F1mLslCinLDosArwNFPrUnxaYJ=w170,,Calendar style Asus Zenfone
com.creativecurve.telugucalendar,https://lh3.googleusercontent.com/AV1CzsTS92yRIPijhohDuVne5fAjG7TY4NQCPmsUaJ0mCJ7rnZN6rMzHztxkayMb_SFL=w170,,Telugu Calender 2019 App
com.varasol.telugupanchangamcalendar,https://lh3.googleusercontent.com/sDKXyiH-DAibnW6hBZTTutAaTsN-PaXhspxY0xYFIkGknv6SUBk-h2e6BgRAn75uqT0=w170,,Telugu Calendar 2018
com.mobincube.calendar_in_english_2018,https://lh3.googleusercontent.com/twwPfyaX9EFSooqCbak3JDkQUoeX4Po4bh8MfniqIhgNY3JCYpGr7QyI5S9dEuCvU3s=w170,,Calendar in English 2018 Free
com.mggames.panchang,https://lh3.googleusercontent.com/TnHty6Az0jI6oSegdCIXZIhPSGs1Ba-AuNqVEhQ8bZA-8976n8ngNGRwXsPWQBi6dQ=w170,,Panchang 2018 Hindi Calender
com.digibites.calendar,https://lh3.googleusercontent.com/IKClqChSzbBD3IwRW1fgiQWBo-bM3Rt89Dbr7_Wd0c2zXq5UiwIkaTSOgY3cY95nogU2=w170,,DigiCal Calendar
nithra.hindi.calendar,https://lh3.googleusercontent.com/E2JUPDnuFN8YzPxZA3TfxB9oGmwFXFLY3Qr5LRFRZgkbBpXNVpNOQbbANdKHpd-o4gR_=w170,,"2019 Calendar, 2019 कैलेंडर हिंदी, 2019 Panchang"
com.marcsaade.j.simplecalendar,https://lh3.googleusercontent.com/cQZ7taCsaoRfWQT_70smm8CbWI2kE0toHYw98UQKo8Efhsxo7fnS1iz0yliRhvB5SKm0=w170,,Simple Calendar
com.braingen.odiacalendar,https://lh3.ggpht.com/lnpvqRD68sVJbZUzoF3APMrRlw61qpDweRaIsJKm1k5QTDF1iMFkTxyF-dcZehV5i4E=w170,,Odia (Oriya) Calendar
com.coderays.tamilcalendar,https://lh3.googleusercontent.com/5HCBNjcJhV6DUgswGNQONEnJ-MhxpOyinZNPsUekyoHDK8oKS3AP_8dJeSx52Md6ktgO=w170,,Om Tamil Calendar
ss.hindi.calendar,https://lh3.googleusercontent.com/wmEuCthDwyee3t79utno8uPirc6gms41yOcmGQAvsdssGsyCmm4NU6Y3vGSmTExuvTm9=w170,,Hindi Calendar 2018 - हिंदी कैलेंडर 2018
com.safusion.android.businesscalendar.trail,https://lh3.googleusercontent.com/bqzOFVWAusKrKhZN7PajHq98PzZFR9HxVqXPFHJu6vfFAr_59yBxjqMf3saVoOlSSIM=w170,,Business Calendar Free
com.blackberry.calendar,https://lh3.googleusercontent.com/3FAxTXnNXeIeHAh3KMVeh4ubvXp74vgZOsA0-Gu53Zrrb7OQhDkv-bbNQGe8k9tl0jE=w170,,BlackBerry Calendar
com.appgenix.bizcal,https://lh3.googleusercontent.com/eYNnIoel0Z0IF1IT0b9I3ulQqkUDZWol5hH20LjhsIi4i2u_zgh-j8dtV2e0G-uxZdU=w170,,Business Calendar 2
