App_ID,App_Icon_URL,App_Image_Name,App_Name
com.google.android.calculator,https://lh3.googleusercontent.com/U3jWNUNqn2XqlNhD2ggy6ELAtt0jRps9MKbfERUWcOBO8uC_BmZUqCKV5eD2uarhg14=w170,,Calculator
com.android2.calculator3,https://lh3.googleusercontent.com/FpQXb3fjRebih0ZMiuXK4NuWARD4zyG-5un8UYDoM0ha7IBOE9iqBtZYbxpV2kKB6w=w170,,Calculator
com.sec.android.app.popupcalculator,https://lh3.googleusercontent.com/7EfP5NJn7fhLRl0vl2t4apevZNaLH7lNf6OdmqJfLs4rZInVkjXytD5SKTsipeXty-g=w170,,Samsung Calculator
com.vpn.basiccalculator,https://lh6.ggpht.com/Hylsy-y_0Z0x1TwsmzKIH89Vv-GYvQSg5sOlJ8JJOW2KEdKntLIpewtj6d3FL0eZbo0=w170,,CITIZEN CALCULATOR
calculator.innovit.com.calculatrice,https://lh3.googleusercontent.com/fPysOfCERB5QpZCLpWxRxp4nG_qxK2sg51cfVxP20BCyWgft5EKblU0_cc5MHHauQcQ=w170,,Calculator
com.digitalchemy.calculator.freedecimal,https://lh3.googleusercontent.com/n6SkcJmup84V9NthT0dy5GpsLPGDH--7c_TkxaMtZG96Ync15TQ4Uz1wFzN2kjbp7LQ=w170,,Calculator Plus Free
com.calculator.vault,https://lh3.googleusercontent.com/7dcI1nRVWYe2BUTAjQCiO4TTiuy-TuyXEet5004eQRi8LHcYgYjz3P6de4HSYNCBCA=w170,,Calculator Vault- Gallery Lock
smart.calculator.gallerylock,https://lh3.googleusercontent.com/Uw9PEWK_wbjphGgBpLkT3nsaNYyHRc9tFwiqlUW1O2tQc4ajMjs_T3dH1g71SRw4UA=w170,,"Photo,Video Locker-Calculator"
net.camijun.CamiCalc,https://lh4.ggpht.com/RyYK2h8CiqCXNuJWReT7Ovm-Nz-umzuoJCNijleQntc0LwR6WbK4FV3CoGTNi5T-LA=w170,,Cami Calculator
com.divinesoftech.calculator,https://lh3.googleusercontent.com/XgIGIVrOOdkm3G5IjtoqxBgi-KESeNmKwwPImg3qz2xUmzhfKhPvyAZ4UDwzKkDIJisq=w170,,CITIZEN & GST CALCULATOR
com.app.calculator.vault.hider,https://lh3.googleusercontent.com/ZAp82luGWBt0nYx1dRKXRgS0JN9fAIXaJqLOFhgd8QgKElMMfLnCm0jyjUfYX_X6UNm9=w170,,Calculator Vault : App Hider - Hide Apps
com.dencreak.dlcalculator,https://lh3.googleusercontent.com/b6KI8myvbAg3y1T3-SsPLp2P1eij0-JIGx9VtUu1OfgXDAqR3JW7TuMVqcce8H3Uq20=w170,,ClevCalc - Calculator
com.mathsolver.calc,https://lh4.ggpht.com/m5Ox9ayxr_f_Lft6esgNNFVvMeYvr7verKI2FJDU950jV0Gp8sU1SU5TVwA2m3N7CWY=w170,,Calculator L
my.android.calc,https://lh3.googleusercontent.com/aa6CMu22U2yzblLwdZkqxW61IpVrMaNuw5clO01Oxc551sgaQJmFKFS3NSgbCPduqGc=w170,,Mobi Calculator free & AD free!
com.voice.calculator.speak.talking.app,https://lh3.googleusercontent.com/roEkw5pOOrKAy3zR4vL4iTBzexMhJsFrnLDTxNYIEWrXBR8r0G6cuOcGXtXbwYR1gQ=w170,,Voice Calculator
com.rkayapps.financeindia,https://lh3.googleusercontent.com/kZBhbllB7J1Onb2zsD67E9NJYTt0mlCq23IjWQ6PyD9Kgr9bdOuI2v5EnY5wzQRKsEU=w170,,Financial Calculator India
calculator.scientific.math,https://lh3.googleusercontent.com/UTv7O4MeZIokE6t9f7fl16ionOxL4ytsDsBBf3iGzPklzpOaD_9vORwbjfQOw4i4dEM=w170,,Calculator Pro – Get Math Answers by Camera
app.kwc.math.totalcalc,https://lh3.googleusercontent.com/BQtEdPkjkjq4Bt_i2G08HV75nc4m9CfGdbsW6NnNZtWL7TlfDNzA-vkzUTKx4Thmww=w170,,Total Calculator
cz.hipercalc,https://lh3.googleusercontent.com/ldF5WMY3txCpVGQmlvyVUokB0Kb37iRtOrPOQFa222mudLrqW-xTGNlHrMI6dAIRvUcP=w170,,HiPER Scientific Calculator
com.prettypet.google.prettycalc,https://lh3.googleusercontent.com/CtjFCC5tF4kNgVFiPD050yG4U6Wh9oNOkuy7A_wsX3ZRwkHp2N3naswyH4fUUxrYymo=w170,,Pretty Calculator
com.fotoable.calculator.plus,https://lh3.googleusercontent.com/OttBiB60TTL2yLLEqvynTwJdgX66ls74DcQVYEL5cvMrlUOOyKdkPx4hNaXR-RM4oJU=w170,,VIP Vault Hide Pictures
com.tricolorcat.calculator,https://lh3.googleusercontent.com/wPMagjuXhi8JYMssMGbUJHNeJuheeFGV6mN_jQRzSn53KSHm-WMRNoVklRD9pSy__2E=w170,,Calculator
eztools.calculator.photo.vault,https://lh3.googleusercontent.com/eHWTm-ybFBNoycuHkHcfXotjTv_96xQ-NDcXqtqV_C72TmN3YTZ9Zzce2ME5DJgh_A=w170,,Calculator - Vault for photo (hidden your photos)
com.candl.athena,https://lh3.googleusercontent.com/veGpCPeXCA_0k1Kf7rOM1dXD_p5j09R1pQ3o9-ALkbAA_ydAIWe07IOaRyJ-q4YALg=w170,,Stylish Calculator Free - CALCU™
com.mi_ciel.calclc,https://lh3.googleusercontent.com/QAFNG2pWqq9eYepwAZWP98Hj4BpfIAuZJOLwDoD3o-5_EJTgSDlUS_GuED5YEmVRww=w170,,Calclc (Calculator)
com.meonria.scientificcalc,https://lh3.googleusercontent.com/6h8dhmmS_bfb6xNkbN2EvB6ieyDOJlPPNiudNRk_aVry_g-LnsvzmUdBg8xogYXT64U=w170,,Scientific Calculator
com.design.calculator,https://lh3.googleusercontent.com/tjF2wcXly6hGMJ2OPWXj0UMT5RqUPgA0Z70-RMIGawmjXyBPSBKfWiCXfo_clpnhCA=w170,,Calculator Pro
com.sawicki.piotr.calculator.simple.simplecalculator,https://lh3.googleusercontent.com/3G0Gdve4DYpzfjkybs-LZC0BcrdVt9SWNDHIWvv3IISjYghjnBCicjzMNB4dTJxMhcQ=w170,,Simple Calculator
com.merowoo.genericcalculator,https://lh4.ggpht.com/SncZb7LJRjM_gnRCPNl74sot9Y5xrI1ke_8EpPfEddxs7e_b1S-miX6Z6NX5px5OHwc=w170,,Generic Calculator
com.ststudio.smart.calculator,https://lh3.googleusercontent.com/2GC5Kds4o97nEbGgRDcwJ68UZOygxiVpX31pnWZCg0sSxwS4kLwUrozrflYaKKeocbg=w170,,Smart Calculator – Take Photo to Solve Math
